STATION,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CLDD,DP01,DP10,DSND,DSNW,DT00,DT32,DX32,DX70,DX90,EMNT,EMSD,EMSN,EMXP,EMXT,FZF0,FZF1,FZF2,FZF3,FZF4,FZF5,FZF6,FZF7,FZF8,FZF9,HDSD,HTDD,PRCP,SNOW,TAVG,TMAX,TMIN
USC00200230,42.29806,-83.66388,247.8,1975,697,697,139,84,63,15,1,142,40,136,5,-5,9,6.5,3.73,95,31,26,24,19,15,32,28,24,19,7,6438,6438,37.13,46.2,49.3,58.4,40.1
USC00200230,42.29806,-83.66388,247.8,1976,689,689,128,63,74,15,12,158,59,144,9,-10,13,3.8,1.7,95,32,23,23,20,10,30,28,21,13,13,6257,6257,27.42,42.1,47.8,58.1,37.5
USC00200230,42.29806,-83.66388,247.8,1977,694,694,158,81,92,17,16,126,67,145,9,-10,11,7.2,1.87,96,31,23,23,18,16,32,27,21,19,16,7152,7152,35.38,59.8,48.5,57.8,39.1
USC00200230,42.29806,-83.66388,247.8,1978,729,729,146,75,94,18,8,150,75,130,9,-3,20,11.6,1.82,94,32,27,22,14,14,31,25,24,17,15,7361,7361,30.09,64.8,47,56.6,37.5
USC00200230,42.29806,-83.66388,247.8,1979,552,552,159,77,73,10,11,140,63,135,2,-13,14,5.1,1.76,91,31,27,19,19,11,30,24,24,17,15,7022,7022,31.44,36.6,47.4,56.6,38.2
USC00200230,42.29806,-83.66388,247.8,1980,717,717,156,76,,12,5,144,67,136,5,-4,,7,1.7,93,31,25,19,19,8,29,26,23,17,7,6706,6706,37.74,41.3,47.7,56.7,38.7
USC00200230,42.29806,-83.66388,247.8,1981,618,618,158,71,64,13,6,136,52,127,4,-12,11,7.8,1.77,91,31,22,22,20,8,32,23,23,20,16,6692,6692,36.09,46.3,48.4,57.4,39.3
USC00200230,42.29806,-83.66388,247.8,1982,585,585,153,83,82,18,8,133,61,140,0,-15,19,7.7,2.91,89,28,28,23,19,13,32,27,12,12,12,7127,7127,36.7,61.2,48.4,57.5,39.2
USC00200230,42.29806,-83.66388,247.8,1983,889,889,145,78,38,11,7,133,48,129,18,-12,9,8,1.98,94,29,26,19,19,13,30,25,19,19,9,5969,5969,37.65,49.6,49.5,58.8,40.2
USC00200230,42.29806,-83.66388,247.8,1984,741,741,155,75,62,11,7,134,47,131,12,-17,11,3.9,1.8,95,28,28,23,17,16,32,28,21,19,15,6908,6908,30.55,37,49.2,58.8,39.6
